"code","phecode_unrolled"
"008","008"
"008.5","008.5"
"008.5","008"
"008.51","008.51"
"008.51","008.5"
"008.51","008"
"008.511","008.511"
"008.511","008.51"
"008.511","008.5"
"008.511","008"
"008.512","008.512"
"008.512","008.51"
"008.512","008.5"
"008.512","008"
"008.513","008.513"
"008.513","008.51"
"008.513","008.5"
"008.513","008"
"008.514","008.514"
"008.514","008.51"
"008.514","008.5"
"008.514","008"
"008.515","008.515"
"008.515","008.51"
"008.515","008.5"
"008.515","008"
"008.516","008.516"
"008.516","008.51"
"008.516","008.5"
"008.516","008"
"008.52","008.52"
"008.52","008.5"
"008.52","008"
"008.6","008.6"
"008.6","008"
"008.7","008.7"
"008.7","008"
"010","010"
"031","031"
"031.1","031.1"
"031.1","031"
"038","038"
"038.1","038.1"
"038.1","038"
"038.2","038.2"
"038.2","038"
"038.3","038.3"
"038.3","038"
"041","041"
"041.1","041.1"
"041.1","041"
"041.11","041.11"
"041.11","041.1"
"041.11","041"
"041.12","041.12"
"041.12","041.1"
"041.12","041"
"041.2","041.2"
"041.2","041"
"041.21","041.21"
"041.21","041.2"
"041.21","041"
"041.4","041.4"
"041.4","041"
"041.8","041.8"
"041.8","041"
"041.9","041.9"
"041.9","041"
"053","053"
"054","054"
"060","060"
"070","070"
"070.1","070.1"
"070.1","070"
"070.2","070.2"
"070.2","070"
"070.3","070.3"
"070.3","070"
"070.4","070.4"
"070.4","070"
"070.9","070.9"
"070.9","070"
"071","071"
"071.1","071.1"
"071.1","071"
"078","078"
"079","079"
"079.1","079.1"
"079.1","079"
"079.2","079.2"
"079.2","079"
"079.3","079.3"
"079.3","079"
"079.4","079.4"
"079.4","079"
"079.5","079.5"
"079.5","079"
"079.6","079.6"
"079.6","079"
"079.7","079.7"
"079.7","079"
"079.8","079.8"
"079.8","079"
"079.9","079.9"
"079.9","079"
"079.A","079.A"
"079.A","079"
"079.B","079.B"
"079.B","079"
"079.C","079.C"
"079.C","079"
"080","080"
"081","081"
"081.1","081.1"
"081.1","081"
"081.11","081.11"
"081.11","081.1"
"081.11","081"
"081.12","081.12"
"081.12","081.1"
"081.12","081"
"090","090"
"090.2","090.2"
"090.2","090"
"090.3","090.3"
"090.3","090"
"1000","1000"
"1001","1001"
"1002","1002"
"1003","1003"
"1004","1004"
"1005","1005"
"1006","1006"
"1007","1007"
"1008","1008"
"1009","1009"
"1010","1010"
"1010.1","1010.1"
"1010.1","1010"
"1010.2","1010.2"
"1010.2","1010"
"1010.3","1010.3"
"1010.3","1010"
"1010.4","1010.4"
"1010.4","1010"
"1010.5","1010.5"
"1010.5","1010"
"1010.6","1010.6"
"1010.6","1010"
"1010.7","1010.7"
"1010.7","1010"
"1011","1011"
"1012","1012"
"1013","1013"
"1014","1014"
"1015","1015"
"1015.1","1015.1"
"1015.1","1015"
"1015.2","1015.2"
"1015.2","1015"
"1019","1019"
"1089","1089"
"1090","1090"
"110","110"
"110.1","110.1"
"110.1","110"
"110.11","110.11"
"110.11","110.1"
"110.11","110"
"110.12","110.12"
"110.12","110.1"
"110.12","110"
"110.13","110.13"
"110.13","110.1"
"110.13","110"
"110.2","110.2"
"110.2","110"
"1100","1100"
"112","112"
"112.3","112.3"
"112.3","112"
"117","117"
"117.1","117.1"
"117.1","117"
"117.2","117.2"
"117.2","117"
"117.3","117.3"
"117.3","117"
"117.4","117.4"
"117.4","117"
"130","130"
"130.1","130.1"
"130.1","130"
"130.2","130.2"
"130.2","130"
"131","131"
"132","132"
"132.1","132.1"
"132.1","132"
"133","133"
"134","134"
"134.1","134.1"
"134.1","134"
"136","136"
"145","145"
"145.1","145.1"
"145.1","145"
"145.2","145.2"
"145.2","145"
"145.3","145.3"
"145.3","145"
"145.4","145.4"
"145.4","145"
"145.5","145.5"
"145.5","145"
"149","149"
"149.1","149.1"
"149.1","149"
"149.2","149.2"
"149.2","149"
"149.3","149.3"
"149.3","149"
"149.4","149.4"
"149.4","149"
"149.9","149.9"
"149.9","149"
"150","150"
"151","151"
"153","153"
"155","155"
"155.1","155.1"
"155.1","155"
"157","157"
"158","158"
"159","159"
"159.2","159.2"
"159.2","159"
"159.3","159.3"
"159.3","159"
"159.4","159.4"
"159.4","159"
"164","164"
"165","165"
"165.1","165.1"
"165.1","165"
"170","170"
"170.1","170.1"
"170.1","170"
"170.2","170.2"
"170.2","170"
"172","172"
"173","173"
"174","174"
"174.1","174.1"
"174.1","174"
"174.11","174.11"
"174.11","174.1"
"174.11","174"
"174.3","174.3"
"174.3","174"
"175","175"
"180","180"
"180.3","180.3"
"180.3","180"
"182","182"
"184","184"
"184.1","184.1"
"184.1","184"
"184.11","184.11"
"184.11","184.1"
"184.11","184"
"184.2","184.2"
"184.2","184"
"185","185"
"187","187"
"187.2","187.2"
"187.2","187"
"187.8","187.8"
"187.8","187"
"189","189"
"190","190"
"191","191"
"191.1","191.1"
"191.1","191"
"191.11","191.11"
"191.11","191.1"
"191.11","191"
"193","193"
"194","194"
"195","195"
"195.1","195.1"
"195.1","195"
"195.3","195.3"
"195.3","195"
"196","196"
"197","197"
"198","198"
"198.1","198.1"
"198.1","198"
"198.2","198.2"
"198.2","198"
"198.3","198.3"
"198.3","198"
"198.4","198.4"
"198.4","198"
"198.5","198.5"
"198.5","198"
"198.6","198.6"
"198.6","198"
"199","199"
"199.4","199.4"
"199.4","199"
"199.41","199.41"
"199.41","199.4"
"199.41","199"
"199.42","199.42"
"199.42","199.4"
"199.42","199"
"199.43","199.43"
"199.43","199.4"
"199.43","199"
"200","200"
"200.1","200.1"
"200.1","200"
"201","201"
"202","202"
"202.2","202.2"
"202.2","202"
"202.21","202.21"
"202.21","202.2"
"202.21","202"
"202.22","202.22"
"202.22","202.2"
"202.22","202"
"202.23","202.23"
"202.23","202.2"
"202.23","202"
"204","204"
"204.1","204.1"
"204.1","204"
"204.11","204.11"
