"phecode","description","groupnum","group","color"
"008","Intestinal infection","1","infections","blue"
"008.5","Bacterial enteritis","1","infections","blue"
"008.51","Intestinal e.coli","1","infections","blue"
"008.511","Intestinal infection due to enterohemorrhagic E. coli","1","infections","blue"
"008.512","Intestinal infection due to enteropathogenic E. coli","1","infections","blue"
"008.513","Intestinal infection due to enterotoxigenic E. coli","1","infections","blue"
"008.514","Intestinal infection due to enteroinvasive E. coli","1","infections","blue"
"008.515","Intestinal infection due to other intestinal E. coli infections","1","infections","blue"
"008.516","Intestinal infection due to E. coli, unspecified","1","infections","blue"
"008.52","Intestinal infection due to C. difficile","1","infections","blue"
"008.6","Viral Enteritis","1","infections","blue"
"008.7","Intestinal infection due to protozoa","1","infections","blue"
"010","Tuberculosis","1","infections","blue"
"031","Diseases due to other mycobacteria","1","infections","blue"
"031.1","Leprosy","1","infections","blue"
"038","Septicemia","1","infections","blue"
"038.1","Gram negative septicemia","1","infections","blue"
"038.2","Gram positive septicemia","1","infections","blue"
"038.3","Bacteremia","1","infections","blue"
"041","Bacterial infection NOS","1","infections","blue"
"041.1","Staphylococcus infections","1","infections","blue"
"041.11","Methicillin sensitive Staphylococcus aureus","1","infections","blue"
"041.12","Methicillin resistant Staphylococcus aureus","1","infections","blue"
"041.2","Streptococcus infection","1","infections","blue"
"041.21","Rheumatic fever / chorea","1","infections","blue"
"041.4","E. coli","1","infections","blue"
"041.8","H. pylori","1","infections","blue"
"041.9","Infection with drug-resistant microorganisms","1","infections","blue"
"053","Herpes zoster","1","infections","blue"
"054","Herpes simplex","1","infections","blue"
"060","Coronavirus disease 2019 (COVID-19)","1","infections","blue"
"070","Viral hepatitis","1","infections","blue"
"070.1","Viral hepatitis A","1","infections","blue"
"070.2","Viral hepatitis B","1","infections","blue"
"070.3","Viral hepatitis C","1","infections","blue"
"070.4","Chronic hepatitis","1","infections","blue"
"070.9","Hepatitis NOS","1","infections","blue"
"071","Human immunodeficiency virus [HIV] disease","1","infections","blue"
"071.1","HIV infection, symptomatic","1","infections","blue"
"078","Viral warts & HPV","1","infections","blue"
"079","Viral infection","1","infections","blue"
"079.1","Varicella infection","1","infections","blue"
"079.2","Infectious mononucleosis","1","infections","blue"
"079.3","Adenovirus","1","infections","blue"
"079.4","Arthropod-borne disease","1","infections","blue"
"079.5","Cytomegalovirus","1","infections","blue"
"079.6","Hand, foot, and mouth disease and other Coxsackie virus infection","1","infections","blue"
"079.7","Herpangina","1","infections","blue"
"079.8","Molluscum contagiosum","1","infections","blue"
"079.9","Viremia, NOS","1","infections","blue"
"079.A","Rhinovirus","1","infections","blue"
"079.B","Respiratory syncytial virus","1","infections","blue"
"079.C","Viral exanthem","1","infections","blue"
"080","Postoperative infection","1","infections","blue"
"081","Infection/inflammation of internal prosthetic device; implant; and graft","1","infections","blue"
"081.1","Graft-versus-host disease","17","immunologic & inflammatory disorders","deepskyblue"
"081.11","Acute graft-versus-host disease","17","immunologic & inflammatory disorders","deepskyblue"
"081.12","Chronic graft-versus-host disease","17","immunologic & inflammatory disorders","deepskyblue"
"090","Sexually transmitted infections (not HIV or hepatitis)","1","infections","blue"
"090.2","Gonococcal infections","1","infections","blue"
"090.3","Venereal diseases due to Chlamydia trachomatis","1","infections","blue"
"1000","Burns",NA,NA,NA
"1001","Foreign body injury",NA,NA,NA
"1002","Symptoms concerning nutrition, metabolism, and development",NA,NA,NA
"1003","Sudden death",NA,NA,NA
"1004","Other signs and symptoms involving emotional state",NA,NA,NA
"1005","Other symptoms",NA,NA,NA
"1006","Crushing injury",NA,NA,NA
"1007","Injury to blood vessels",NA,NA,NA
"1008","Crushing or internal injury to organs",NA,NA,NA
"1009","Injury, NOS",NA,NA,NA
"1010","Other tests",NA,NA,NA
"1010.1","screening for infectious and parasitic diseases",NA,NA,NA
"1010.2","screening for malignant neoplasms",NA,NA,NA
"1010.3","screening for other diseases and disorders",NA,NA,NA
"1010.4","Genetic Test",NA,NA,NA
"1010.5","potential health hazards related to communicable diseases
potential health hazards related to communicable diseases",NA,NA,NA
"1010.6","Persons encountering health services in circumstances related to reproduction",NA,NA,NA
"1010.7","Persons with potential health hazards related to socioeconomic, psychosocial, and other circumstances",NA,NA,NA
"1011","Complications of surgical and medical procedures",NA,NA,NA
"1012","Late effect",NA,NA,NA
"1013","Asphyxia and hypoxemia",NA,NA,NA
"1014","Effects of heat, cold and air pressure",NA,NA,NA
